source_id,target_id,source,licence,version
ncbigene:41836,uniprot:Q24572,uniprot,CC BY 4.0,2024_03
ncbigene:35197,uniprot:Q8MQJ9,uniprot,CC BY 4.0,2024_03
ncbigene:36993,uniprot:A1ZAW0,uniprot,CC BY 4.0,2024_03
ncbigene:12798279,uniprot:O46201,uniprot,CC BY 4.0,2024_03
ncbigene:31011,uniprot:Q8IRY7,uniprot,CC BY 4.0,2024_03
ncbigene:33532,uniprot:Q24093,uniprot,CC BY 4.0,2024_03
ncbigene:38933,uniprot:Q9VSH0,uniprot,CC BY 4.0,2024_03
ncbigene:43104,uniprot:Q8MZC4,uniprot,CC BY 4.0,2024_03
ncbigene:33611,uniprot:Q24120,uniprot,CC BY 4.0,2024_03
ncbigene:38558,uniprot:B7TB45,uniprot,CC BY 4.0,2024_03
ncbigene:35055,uniprot:Q9VJD2,uniprot,CC BY 4.0,2024_03
ncbigene:37618,uniprot:P20439,uniprot,CC BY 4.0,2024_03
ncbigene:33350,uniprot:Q9VQ37,uniprot,CC BY 4.0,2024_03
ncbigene:39238,uniprot:Q8IQF1,uniprot,CC BY 4.0,2024_03
ncbigene:32554,uniprot:Q08832,uniprot,CC BY 4.0,2024_03
ncbigene:32425,uniprot:O61492,uniprot,CC BY 4.0,2024_03
ncbigene:31309,uniprot:Q9W4T4,uniprot,CC BY 4.0,2024_03
ncbigene:41365,uniprot:Q9VGP6,uniprot,CC BY 4.0,2024_03
ncbigene:40148,uniprot:P29829,uniprot,CC BY 4.0,2024_03
ncbigene:34293,uniprot:P49906,uniprot,CC BY 4.0,2024_03
ncbigene:40034,uniprot:Q9NHB0,uniprot,CC BY 4.0,2024_03
ncbigene:38003,uniprot:Q9W0W6,uniprot,CC BY 4.0,2024_03
ncbigene:43726,uniprot:Q9V9V9,uniprot,CC BY 4.0,2024_03
ncbigene:31393,uniprot:Q5BI31,uniprot,CC BY 4.0,2024_03
ncbigene:31321,uniprot:Q8MT08,uniprot,CC BY 4.0,2024_03
ncbigene:35686,uniprot:O16810,uniprot,CC BY 4.0,2024_03
ncbigene:37204,uniprot:Q7K2B0,uniprot,CC BY 4.0,2024_03
ncbigene:39758,uniprot:Q9VUY0,uniprot,CC BY 4.0,2024_03
ncbigene:36411,uniprot:P21520,uniprot,CC BY 4.0,2024_03
ncbigene:41191,uniprot:Q9VH78,uniprot,CC BY 4.0,2024_03
ncbigene:32859,uniprot:Q9VWR2,uniprot,CC BY 4.0,2024_03
ncbigene:41460,uniprot:Q9VGE3,uniprot,CC BY 4.0,2024_03
ncbigene:31208,uniprot:P17886,uniprot,CC BY 4.0,2024_03
ncbigene:33947,uniprot:Q9VM91,uniprot,CC BY 4.0,2024_03
ncbigene:33470,uniprot:Q9VQG4,uniprot,CC BY 4.0,2024_03
ncbigene:36543,uniprot:A1Z9J4,uniprot,CC BY 4.0,2024_03
ncbigene:31031,uniprot:Q9W5D0,uniprot,CC BY 4.0,2024_03
ncbigene:35207,uniprot:Q9V422,uniprot,CC BY 4.0,2024_03
ncbigene:39077,uniprot:P02516,uniprot,CC BY 4.0,2024_03
ncbigene:250736,uniprot:Q9VIP7,uniprot,CC BY 4.0,2024_03
ncbigene:3772007,uniprot:Q2MGL3,uniprot,CC BY 4.0,2024_03
ncbigene:3355133,uniprot:Q8T0G4,uniprot,CC BY 4.0,2024_03
ncbigene:59235,uniprot:Q9VV28,uniprot,CC BY 4.0,2024_03
ncbigene:37629,uniprot:Q24008,uniprot,CC BY 4.0,2024_03
ncbigene:41971,uniprot:Q9VEX5,uniprot,CC BY 4.0,2024_03
ncbigene:32151,uniprot:Q9VYS5,uniprot,CC BY 4.0,2024_03
ncbigene:41605,uniprot:P10351,uniprot,CC BY 4.0,2024_03
ncbigene:47954,uniprot:Q9VBL6,uniprot,CC BY 4.0,2024_03
ncbigene:31596,uniprot:Q9W3Y4,uniprot,CC BY 4.0,2024_03
ncbigene:36442,uniprot:Q9I7F7,uniprot,CC BY 4.0,2024_03
ncbigene:40638,uniprot:Q9VNA4,uniprot,CC BY 4.0,2024_03
ncbigene:41456,uniprot:Q9VGE8,uniprot,CC BY 4.0,2024_03
ncbigene:31600,uniprot:Q9W3Y0,uniprot,CC BY 4.0,2024_03
ncbigene:31364,uniprot:P34082,uniprot,CC BY 4.0,2024_03
ncbigene:33477,uniprot:Q9VQH2,uniprot,CC BY 4.0,2024_03
ncbigene:43944,uniprot:Q9U1H9,uniprot,CC BY 4.0,2024_03
ncbigene:31098,uniprot:Q9W589,uniprot,CC BY 4.0,2024_03
ncbigene:35690,uniprot:Q7JWD3,uniprot,CC BY 4.0,2024_03
ncbigene:43599,uniprot:O16829,uniprot,CC BY 4.0,2024_03
ncbigene:36999,uniprot:Q9V853,uniprot,CC BY 4.0,2024_03
ncbigene:318680,uniprot:Q8INF7,uniprot,CC BY 4.0,2024_03
ncbigene:36032,uniprot:P40791,uniprot,CC BY 4.0,2024_03
ncbigene:43101,uniprot:Q9VBN7,uniprot,CC BY 4.0,2024_03
ncbigene:35705,uniprot:Q9V4Q0,uniprot,CC BY 4.0,2024_03
ncbigene:36784,uniprot:Q7KN90,uniprot,CC BY 4.0,2024_03
ncbigene:31081,uniprot:O46102,uniprot,CC BY 4.0,2024_03
ncbigene:32724,uniprot:Q24255,uniprot,CC BY 4.0,2024_03
ncbigene:42947,uniprot:Q9VC44,uniprot,CC BY 4.0,2024_03
ncbigene:117477,uniprot:P83297,uniprot,CC BY 4.0,2024_03
ncbigene:35696,uniprot:Q9V4P1,uniprot,CC BY 4.0,2024_03
ncbigene:42183,uniprot:Q9VEB3,uniprot,CC BY 4.0,2024_03
ncbigene:42314,uniprot:Q9VDY1,uniprot,CC BY 4.0,2024_03
ncbigene:31787,uniprot:P07182,uniprot,CC BY 4.0,2024_03
ncbigene:33623,uniprot:P81913,uniprot,CC BY 4.0,2024_03
ncbigene:38013,uniprot:Q9W0V7,uniprot,CC BY 4.0,2024_03
ncbigene:31701,uniprot:P51406,uniprot,CC BY 4.0,2024_03
ncbigene:37671,uniprot:Q9W1U4,uniprot,CC BY 4.0,2024_03
ncbigene:34874,uniprot:Q9V3Y0,uniprot,CC BY 4.0,2024_03
ncbigene:39149,uniprot:Q9VT50,uniprot,CC BY 4.0,2024_03
ncbigene:42846,uniprot:Q8I0P1,uniprot,CC BY 4.0,2024_03
ncbigene:44548,uniprot:Q9V5M6,uniprot,CC BY 4.0,2024_03
ncbigene:40354,uniprot:P27779,uniprot,CC BY 4.0,2024_03
ncbigene:42881,uniprot:Q95RV2,uniprot,CC BY 4.0,2024_03
ncbigene:35099,uniprot:Q9VJ87,uniprot,CC BY 4.0,2024_03
ncbigene:37594,uniprot:Q9W223,uniprot,CC BY 4.0,2024_03
ncbigene:39550,uniprot:Q9VUB4,uniprot,CC BY 4.0,2024_03
ncbigene:7354434,uniprot:B7Z0W9,uniprot,CC BY 4.0,2024_03
ncbigene:3772677,uniprot:Q9VQF9,uniprot,CC BY 4.0,2024_03
ncbigene:40191,uniprot:Q9VW71,uniprot,CC BY 4.0,2024_03
ncbigene:35738,uniprot:Q01583,uniprot,CC BY 4.0,2024_03
ncbigene:37298,uniprot:Q5BI42,uniprot,CC BY 4.0,2024_03
ncbigene:32544,uniprot:P26308,uniprot,CC BY 4.0,2024_03
ncbigene:32635,uniprot:P39018,uniprot,CC BY 4.0,2024_03
ncbigene:43952,uniprot:P91641,uniprot,CC BY 4.0,2024_03
ncbigene:19835383,uniprot:Q9V7W1,uniprot,CC BY 4.0,2024_03
