source_id,target_id,source,licence,version
uniprot:Q24572,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8MQJ9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1ZAW0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O46201,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8IRY7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24093,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VSH0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8MZC4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24120,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:B7TB45,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VJD2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P20439,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQ37,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8IQF1,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q08832,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O61492,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W4T4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VGP6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NBX4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P29829,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P49906,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9NHB0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W0W6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V9V9,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q5BI31,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8MT08,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:O16810,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q7K2B0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VUY0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P21520,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q967S7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VH78,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VWR2,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VGE3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P17886,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VM91,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VQG4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:A1Z9J4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9W5D0,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9V422,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P02516,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VIP7,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q2MGL3,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q8T0G4,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VV28,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q24008,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VEX5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VYS5,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:P10351,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
uniprot:Q9VBL6,ncbitaxon:7227,uniprot,CC BY 4.0,2024_03
